feature,class
"[-3.4623193e+02  1.2601379e+02  2.3617458e+01  8.4700356e+00
 -1.4691042e+01  2.9326811e+00  5.4208312e+00 -9.0441961e+00
 -2.7591473e+01  1.4113588e+01  1.4334610e+01  4.1063266e+00
  1.2424926e+01 -1.5173838e+00 -7.7601689e-01  1.1615370e+01
 -6.5540814e+00  3.0006855e+00 -9.2592707e+00 -1.6661048e+00
  2.6885405e+00 -4.2895374e+00 -8.0852156e+00 -2.4520147e-01
 -1.1571010e+01  7.5848871e-01  5.4398689e+00 -1.1527221e+00
  6.1443825e+00  6.8927174e+00 -7.4985247e+00 -4.6398420e+00
 -2.2570922e+00 -5.3856587e+00  2.2792630e+00 -4.2996516e+00
 -7.4737511e+00 -2.8358352e+00  1.8529066e+00  1.3472704e+00]",Nata
"[-3.40529938e+02  1.22736664e+02  1.82639904e+01  2.88873711e+01
 -1.87351894e+00 -5.91560888e+00  6.22740555e+00 -9.11155701e+00
 -1.81686935e+01 -1.27523208e+00  3.09942341e+00  2.70010281e+00
  1.00443745e+01 -2.20002556e+00 -1.54747534e+00  1.13339167e+01
 -7.96814585e+00  5.34302473e+00 -4.64492607e+00 -4.94384480e+00
 -1.93349111e+00 -3.82909149e-01 -8.70089912e+00  4.18980598e+00
 -6.52196598e+00 -2.01054192e+00 -2.03376746e+00 -3.49091935e+00
 -9.20983601e+00 -3.49261856e+00 -6.24099541e+00 -2.14610808e-02
 -2.95223355e+00 -2.91675329e+00  1.78902638e+00  9.06368554e-01
 -1.76764953e+00  2.64433646e+00  3.65639114e+00  2.11746693e+00]",Nata
"[-3.0576349e+02  1.0967052e+02  1.1838475e+01  1.2070110e+01
 -2.0805687e+01  3.8532503e+00  4.6830697e+00 -1.5374937e+01
 -1.9664967e+01  1.2889986e+01  2.0003735e+01  4.2358518e+00
  5.8850989e+00 -1.3040837e+00 -3.4513195e+00  8.5320034e+00
 -1.0420844e+01  1.3388677e+00 -7.9681387e+00  8.0961412e-01
  6.1717358e+00 -5.6341133e+00  1.4359546e+00  7.2922602e+00
 -1.0313444e+01  2.3518336e-01 -1.8139687e+00 -8.2761650e+00
 -4.6547794e+00 -3.6858079e+00 -6.4493656e+00  1.0518088e+00
 -2.7765319e+00 -7.0048943e+00 -1.5605742e+00 -5.5924039e+00
 -5.0057402e+00  2.7271435e+00  1.4251380e+00  2.8396928e+00]",Nata
"[-2.9865189e+02  1.1257140e+02  8.7250767e+00  7.9847956e+00
 -1.6448933e+01 -3.0742879e+00  9.2304239e+00 -1.1031964e+01
 -2.1556711e+01  1.4682484e+01  1.8481760e+01 -1.2469840e+00
  4.8555293e+00 -1.8743423e+00 -1.0653031e+00  1.0750336e+01
 -7.1955156e+00 -1.5771385e-01 -1.1163036e+01 -1.5311288e+00
  6.3507371e+00 -4.4317441e+00 -3.0502353e+00  5.3285470e+00
 -7.8706303e+00  2.8234205e+00 -2.9674459e+00 -6.7543392e+00
 -6.3114519e+00 -1.7658011e+00 -9.3763428e+00  8.2669145e-01
 -3.2216306e+00 -1.1923376e+00 -1.2316402e+00 -3.3374712e+00
 -4.8787624e-01  6.2972450e+00  4.6993484e+00  4.9719329e+00]",Nata
"[-355.63535     116.9416       28.144415     26.806778      6.3059635
   -1.6240865     3.4734197   -10.423887    -16.941786     -0.53144413
    0.9665038     1.8243774     4.617867      1.7496297     5.0425963
   11.100396     -5.3406463     1.5907403    -3.0035515    -4.107033
   -0.8765717    -0.7564392    -9.275359     -2.1420708    -4.583214
   -1.3614371    -3.998754     -3.0281482    -3.2357762    -0.5184172
   -0.67486715    0.70314896   -0.8664878    -1.4819605    -3.6604228
   -5.588399     -5.460564     -2.1649451    -2.5114498    -1.4634374 ]",Nata
"[-3.6167169e+02  1.2360966e+02  2.4745937e+01  2.5546164e+01
  4.7265434e+00  1.8876027e+00  8.3792096e-01 -1.1023913e+01
 -1.6722357e+01  1.5042092e+00  3.8707755e+00  9.3808550e-01
  2.0286007e+00 -7.0900589e-01  1.1254188e+00  9.0807037e+00
 -4.6557612e+00  2.8731451e+00 -1.9283735e+00 -3.6189668e+00
 -7.9777962e-01 -2.5023706e+00 -6.5002165e+00  4.6896762e-01
 -6.3750725e+00 -2.8119924e+00 -1.9300344e+00 -2.5041549e+00
 -3.3372424e+00  6.9635701e-01 -4.3311402e-01  1.5856942e+00
  7.9229511e-02 -7.2324109e-01 -3.3541465e+00 -3.7385645e+00
 -3.8616922e+00 -1.9999146e+00 -3.4832637e+00 -2.2983832e+00]",Nata
"[-3.51007172e+02  1.20845200e+02  1.56724224e+01  3.50076027e+01
  9.19856358e+00  1.32264757e+00 -5.83982038e+00 -7.72487068e+00
 -1.69061050e+01 -4.70983219e+00  1.04788518e+00 -8.21592733e-02
  1.19380403e+00  2.07846165e+00  4.05439854e+00  9.58014107e+00
 -7.60878086e+00  4.91049623e+00 -2.21920156e+00 -4.06915474e+00
  1.84766972e+00 -3.43563080e+00 -1.20607195e+01 -5.56042290e+00
 -3.47634172e+00 -1.15006113e+00 -6.73059893e+00 -3.71932435e+00
 -2.73945093e+00  2.20837712e+00 -9.05438781e-01  1.58341312e+00
  5.39961386e+00  2.15146279e+00 -4.86644357e-01 -3.08712602e+00
 -4.79060650e+00 -1.35970378e+00 -3.46653533e+00 -1.65731931e+00]",Nata
"[-3.3932803e+02  8.0100021e+01 -4.9612370e+01  7.7818522e+00
 -1.5447599e+01 -1.4877477e+01 -3.0427042e+01 -2.0599413e+00
 -6.6535859e+00 -1.8293163e+01 -2.0340445e+01 -4.6078835e+00
  1.1772094e+01 -7.3081431e+00 -7.7407825e-01 -2.1702809e+00
 -6.6687703e+00 -7.8846316e+00 -7.5645370e+00  2.9626033e+00
  4.8835282e+00  1.6058033e+00 -9.6868448e+00 -7.9311556e-01
  2.4894693e+00 -2.9104612e+00  7.2719641e+00  4.7067208e+00
 -6.6639948e-01 -4.4419093e+00 -1.5108733e+01 -9.8640070e+00
  1.8027493e-01 -2.2584684e+00 -3.7544966e+00 -1.7071939e+00
 -5.1614981e+00 -6.2079253e+00 -4.0737391e+00  2.0393324e+00]",Nata
"[-3.4957468e+02  8.3128952e+01 -5.0074924e+01  9.4056978e+00
 -1.4812275e+01 -1.2407326e+01 -3.2456154e+01  1.7027333e-02
 -6.3429952e+00 -1.8923170e+01 -2.0242002e+01 -5.4141870e+00
  9.8682585e+00 -1.0571999e+01  2.0568886e-01 -3.3008280e+00
 -6.6885042e+00 -6.9440112e+00 -5.2432804e+00  6.9508243e+00
  6.5941248e+00  2.3620217e+00 -1.1023055e+01 -2.5861111e+00
  4.2955169e-01 -3.9397304e+00  8.7862473e+00  6.2343345e+00
 -1.4720726e+00 -6.9142022e+00 -1.6447258e+01 -9.8844423e+00
  3.6010034e-02 -2.8790004e+00 -4.1950960e+00 -1.0563911e+00
 -4.3058424e+00 -6.4947538e+00 -4.5213780e+00  2.9090915e+00]",Nata
"[-3.4785809e+02  8.1893570e+01 -4.8651585e+01  9.5955563e+00
 -1.6941658e+01 -9.9361620e+00 -3.0558996e+01 -3.7045866e-01
 -7.6298079e+00 -1.7971634e+01 -1.7324385e+01 -3.6947415e+00
  8.9464083e+00 -8.4857225e+00 -4.7755599e-02 -1.7139174e+00
 -6.6373467e+00 -7.7721071e+00 -5.3752508e+00  5.9864607e+00
  5.6036692e+00  1.3151898e+00 -1.1973037e+01 -1.3992634e+00
  2.0954065e+00 -4.4440527e+00  6.8514895e+00  5.7546706e+00
 -1.8255812e+00 -7.7296610e+00 -1.3672863e+01 -4.5919695e+00
  4.4625708e-01 -4.2027388e+00 -4.8925943e+00 -4.5317677e-01
 -5.7435908e+00 -4.4955521e+00 -5.5683553e-01  1.1770052e+00]",Nata
