feature,class
"[-3.2988388e+02  1.3213698e+02  2.4247555e+01  1.8087626e+01
 -1.4259219e+00 -1.8432795e+01 -1.8060579e+01 -2.5308256e+00
 -9.9918718e+00 -8.0958786e+00  1.8672552e+00 -7.0601506e+00
 -8.8599739e+00 -2.3574786e+00 -2.0799432e+00 -1.1909317e+01
 -8.9773846e+00  4.8494806e+00  4.0373662e-01 -2.2429707e+00
 -2.4830487e+00 -4.9525490e+00 -5.2286811e+00  1.8565733e+00
  1.0753584e+00 -2.6104081e-01  2.1893744e+00  7.9406977e-01
  4.0892836e-01 -5.2193012e+00 -6.5965514e+00  1.4218590e+00
 -1.0505335e+00 -7.2264564e-01 -3.4154120e-01 -7.5806296e-01
 -8.8520414e-01 -1.0084546e+00 -1.2661661e+00  1.5814956e+00]",Mayamalavagowla
"[-301.8801       77.61273     -43.964954      6.8427114   -20.500542
   -7.3276944   -33.750042      1.6951185   -12.997029    -16.480167
  -10.658158     -7.267372      7.2302265   -11.487329     -1.4404794
   -1.6722199    -0.67388695   -3.8953497    -6.124888      6.609958
   -0.639382     -6.7043495   -11.424057     -4.4399486     4.432351
    7.6369        6.9158916     4.337326     -3.3546386    -7.624317
  -13.468939     -9.058198      1.9282811    -0.40594807   -2.5053139
   -2.948418     -1.3994241    -3.3526804    -4.252746     -1.0909921 ]",Mayamalavagowla
"[-3.10872040e+02  6.86266327e+01 -4.30440674e+01  2.47509623e+00
 -2.03462162e+01 -1.07992907e+01 -3.48058853e+01 -3.28669585e-02
 -1.56956835e+01 -1.72738590e+01 -1.06823511e+01 -3.86246896e+00
  9.71668339e+00 -7.19241381e+00  3.34010148e+00 -1.33488846e+00
 -3.84492493e+00 -6.89681435e+00 -1.08708315e+01  7.60900974e+00
  4.70415020e+00 -2.55063915e+00 -1.10655174e+01 -3.87837267e+00
  5.66734505e+00  1.98602223e+00  2.38939357e+00  6.44589949e+00
 -2.00151587e+00 -9.19433212e+00 -1.10179358e+01 -3.70246100e+00
  1.53112769e+00 -6.01528645e+00 -9.98294413e-01 -1.23063719e+00
 -4.10423374e+00 -5.84166467e-01 -1.92830122e+00 -9.04106617e-01]",Mayamalavagowla
"[-302.76172     74.42201    -47.095207     5.852565   -20.636192
   -9.922099   -34.76255      0.9252872  -13.947856   -17.299906
  -10.660528    -3.6879416    9.6544285  -10.459693     1.61926
   -1.5152586   -1.5113013   -4.630472    -9.967254     8.375428
    4.575385    -3.116367   -11.70792     -5.839138     3.931716
    4.518066     3.9372401    5.67534     -1.4298153   -8.418122
  -13.607072    -6.509941     4.1468744   -3.8656945   -2.6125426
   -2.3181763   -4.1383457   -2.06094     -4.183834    -0.920404 ]",Mayamalavagowla
"[-1.9708652e+02  8.1491524e+01 -4.8008492e+01  3.6936771e+01
 -1.4780430e+01  8.5352430e+00 -1.4294071e+01  2.2851717e+00
 -2.6125016e+00  9.8311481e+00 -5.8154712e+00  7.3606443e+00
 -1.3751601e+00  1.8260382e+00 -3.5863359e+00  5.8767662e+00
 -4.1430802e+00 -8.8790350e+00 -3.3537369e+00 -4.8864427e+00
 -9.7131310e+00  5.4201770e+00 -3.8647187e+00  3.1960731e+00
  2.2458043e+00  5.3568397e+00 -4.0650735e+00 -4.7110577e+00
 -3.7205505e+00 -5.3903055e+00 -6.8886757e+00  1.2215370e+00
  1.6653525e+00  1.6702225e+00 -4.0427160e+00 -2.5202816e+00
 -3.5611289e+00 -1.3274965e+00 -3.0612140e+00  9.8851696e-03]",Mohanam
"[-1.5727499e+02  9.5572685e+01 -5.5988686e+01  3.0901611e+01
 -1.2485944e+01  8.2971001e-01 -1.5166028e+01  5.4626851e+00
 -1.0946364e+01  9.5797749e+00 -6.0486822e+00  6.5266609e+00
 -2.4158030e+00  2.0063317e+00 -1.3356935e+00  3.7799103e+00
  1.1157056e+00 -7.7843542e+00 -4.7077980e+00 -7.5139003e+00
 -1.0439309e+01  7.4082971e-01 -3.8816049e+00  2.8390944e+00
 -2.7943832e-01  1.9989741e+00 -4.3762765e+00 -1.1910347e+00
 -9.1315336e+00 -5.5623007e+00 -7.8033009e+00  1.2062719e+00
  5.0910668e+00  6.6435947e+00 -4.7238646e+00  2.2700536e+00
 -7.0599401e-01 -6.9151722e-02 -3.6554506e+00 -5.4507804e+00]",Mohanam
"[-178.47586      78.64402     -35.6453       20.774988    -14.086863
    9.148467    -17.56692       0.80087423   -8.066713      4.6511493
   -7.674011     10.104707     -9.38483       7.9517117    -2.077241
    0.22771876   -2.3715658    -4.585177    -10.317804     -3.2117586
  -10.129001      0.50760543    2.488657      6.7308683    -2.51508
    8.881181     -3.7917788    -1.2159547    -6.3045983    -6.2064166
   -6.273643      5.4158983     1.8175926     6.135693     -6.668893
   -1.9630456    -0.8066334    -3.1690137    -2.9613662    -1.9616416 ]",Mohanam
"[-177.37201      85.34112     -41.96415      44.57123     -21.701542
   14.686366    -14.758963     -7.137521     -5.9671197     1.7644942
   -7.9296036     6.8450813    -6.948318      6.420665     -4.4254723
    2.0292382    -5.084929     -3.320511     -5.667267     -8.070126
   -6.186797     -3.323824     -1.2834209     1.9471784    -6.825338
    4.9154773     0.29480153   -3.75493      -5.279806    -11.043858
   -7.05455      -1.3044965    -0.5708743     3.0325577    -2.595665
   -2.0125413    -1.7445912    -1.3899392    -6.1566834    -3.6234314 ]",Mohanam
"[-1.7245381e+02  8.2064697e+01 -4.3079800e+01  2.3089121e+01
 -7.3919582e+00  1.9566220e+00 -1.6689415e+01  4.2033696e+00
 -1.1340130e+01  7.2447419e+00 -9.1607723e+00  1.3003400e+01
 -4.6545544e+00 -2.4340534e+00 -2.8618035e-01  1.2468827e+00
 -3.1536255e+00 -6.7791772e+00 -4.2950630e+00 -8.4827919e+00
 -1.0723360e+01  5.2075534e+00 -3.0489991e+00 -8.2427120e-01
 -9.2666215e-01  6.1169801e+00 -6.3329134e+00  8.4420674e-02
 -5.8366857e+00 -5.8786893e+00 -4.7387567e+00  7.2207170e+00
  2.4392936e+00  6.6943398e+00 -4.5247569e+00 -2.5118983e+00
 -1.1540583e+00  1.8020269e+00 -3.8958707e+00 -5.4152126e+00]",Mohanam
"[-1.7942020e+02  8.5248291e+01 -4.7030994e+01  3.3153759e+01
 -1.6903475e+01  1.1012794e+01 -2.0853605e+01  3.4575272e+00
 -8.0615234e+00  3.0087969e+00 -3.8068404e+00  9.3227491e+00
 -6.6093259e+00  2.9060729e+00 -1.8253299e+00  6.4026856e-01
 -3.1365738e+00 -4.5922570e+00 -2.3290799e+00 -1.1662319e+01
 -4.8423882e+00  2.7749044e-01  1.5576795e+00  1.0727367e+00
  5.1397640e-01  4.0616546e+00 -4.5696697e+00 -6.9856507e-01
 -5.3124661e+00 -8.5696697e+00 -3.5375192e+00  1.8830251e-02
  2.0141017e+00  4.2568555e+00 -2.7981339e+00 -1.7129257e+00
 -1.1341270e+00 -1.6114655e+00 -5.7669353e+00 -2.8721793e+00]",Mohanam
